t_1,N_1,t_2,N_2,t_3,N_3,t_4,N_4,t_5,N_5,t_6,N_6,t_7,N_7,t_8,N_8,t_9,N_9,t_10,N_10
0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100,0.0,100.0,0.0,100.0
0.0,98.0,0.0,98.0,0.0,98.0,0.0001,98.0,0.0002,99.0,0.0,99.0,0.0,97.0,0.0,99,0.0,96.0,0.0,98.0
0.0001,93.0,0.0001,96.0,0.0001,94.0,0.00030000000000000003,96.0,0.00030000000000000003,97.0,0.0001,97.0,0.0001,95.0,0.0001,94,0.0001,95.0,0.0001,94.0
0.0002,90.0,0.0002,92.0,0.0002,87.0,0.0004,93.0,0.0004,94.0,0.0002,93.0,0.0002,91.0,0.0002,93,0.0002,90.0,0.0002,89.0
0.00030000000000000003,87.0,0.0004,89.0,0.00030000000000000003,85.0,0.0005,90.0,0.0005,91.0,0.00030000000000000003,88.0,0.00030000000000000003,86.0,0.0004,90,0.00030000000000000003,89.0,0.00030000000000000003,86.0
0.0004,83.0,0.0005,86.0,0.0004,83.0,0.0006000000000000001,86.0,0.0006000000000000001,88.0,0.0004,86.0,0.0004,83.0,0.0005,88,0.0004,87.0,0.0004,85.0
0.0005,82.0,0.0006000000000000001,84.0,0.0006000000000000001,80.0,0.0007000000000000001,83.0,0.0007000000000000001,84.0,0.0005,82.0,0.0006000000000000001,81.0,0.0006000000000000001,87,0.0006000000000000001,86.0,0.0005,83.0
0.0006000000000000001,80.0,0.0007000000000000001,83.0,0.0007000000000000001,77.0,0.0008000000000000001,82.0,0.0008000000000000001,83.0,0.0006000000000000001,78.0,0.0010000000000000002,80.0,0.0007000000000000001,84,0.0008000000000000001,85.0,0.0006000000000000001,80.0
0.0007000000000000001,79.0,0.0008000000000000001,81.0,0.0008000000000000001,76.0,0.0009000000000000002,78.0,0.0009000000000000002,79.0,0.0009000000000000002,77.0,0.0014000000000000004,79.0,0.0008000000000000001,80,0.0009000000000000002,83.0,0.0007000000000000001,78.0
0.0008000000000000001,78.0,0.0009000000000000002,80.0,0.0009000000000000002,73.0,0.0010000000000000002,76.0,0.0010000000000000002,77.0,0.0010000000000000002,74.0,0.0015000000000000005,77.0,0.0010000000000000002,78,0.0010000000000000002,81.0,0.0008000000000000001,75.0
0.0012000000000000003,76.0,0.0010000000000000002,77.0,0.0012000000000000003,70.0,0.0011000000000000003,74.0,0.0011000000000000003,76.0,0.0011000000000000003,72.0,0.0017000000000000006,76.0,0.0011000000000000003,76,0.0011000000000000003,80.0,0.0010000000000000002,73.0
0.0013000000000000004,74.0,0.0012000000000000003,76.0,0.0014000000000000004,69.0,0.0012000000000000003,70.0,0.0012000000000000003,75.0,0.0012000000000000003,69.0,0.0019000000000000006,75.0,0.0013000000000000004,74,0.0013000000000000004,79.0,0.0011000000000000003,70.0
0.0014000000000000004,73.0,0.0013000000000000004,73.0,0.0016000000000000005,68.0,0.0014000000000000004,67.0,0.0013000000000000004,73.0,0.0013000000000000004,68.0,0.0023,74.0,0.0014000000000000004,73,0.0014000000000000004,76.0,0.0013000000000000004,69.0
0.0015000000000000005,72.0,0.0015000000000000005,71.0,0.0021000000000000003,67.0,0.0015000000000000005,66.0,0.0014000000000000004,71.0,0.0014000000000000004,67.0,0.0024999999999999996,72.0,0.0018000000000000006,72,0.0015000000000000005,73.0,0.0015000000000000005,68.0
0.0016000000000000005,71.0,0.0019000000000000006,70.0,0.0022,66.0,0.0016000000000000005,64.0,0.0015000000000000005,69.0,0.0015000000000000005,66.0,0.002799999999999999,71.0,0.0019000000000000006,71,0.0016000000000000005,71.0,0.0019000000000000006,67.0
0.0018000000000000006,70.0,0.0020000000000000005,69.0,0.0024,65.0,0.0017000000000000006,62.0,0.0016000000000000005,68.0,0.0016000000000000005,63.0,0.002899999999999999,70.0,0.0020000000000000005,70,0.0017000000000000006,69.0,0.0020000000000000005,66.0
0.0023,68.0,0.0023,67.0,0.0024999999999999996,64.0,0.0018000000000000006,60.0,0.0018000000000000006,67.0,0.0017000000000000006,62.0,0.0029999999999999988,69.0,0.0024999999999999996,69,0.0018000000000000006,67.0,0.0025999999999999994,65.0
0.0024999999999999996,67.0,0.0025999999999999994,66.0,0.0025999999999999994,63.0,0.0021000000000000003,59.0,0.0019000000000000006,65.0,0.0018000000000000006,61.0,0.0031999999999999984,68.0,0.002799999999999999,68,0.0019000000000000006,66.0,0.002899999999999999,63.0
0.0026999999999999993,66.0,0.0032999999999999982,65.0,0.0026999999999999993,61.0,0.0023,58.0,0.0020000000000000005,64.0,0.0019000000000000006,60.0,0.0032999999999999982,65.0,0.002899999999999999,67,0.0022,65.0,0.0030999999999999986,62.0
0.002799999999999999,65.0,0.003399999999999998,64.0,0.002799999999999999,59.0,0.0030999999999999986,57.0,0.0022,63.0,0.0022,59.0,0.003499999999999998,64.0,0.0030999999999999986,65,0.0023,63.0,0.0032999999999999982,61.0
0.0029999999999999988,64.0,0.003499999999999998,63.0,0.002899999999999999,58.0,0.0031999999999999984,56.0,0.0026999999999999993,62.0,0.0023,58.0,0.0035999999999999977,63.0,0.003499999999999998,64,0.0024,62.0,0.003399999999999998,60.0
0.0032999999999999982,63.0,0.0037999999999999974,62.0,0.0029999999999999988,57.0,0.003499999999999998,55.0,0.002799999999999999,61.0,0.0024999999999999996,57.0,0.0043999999999999985,62.0,0.0038999999999999972,63,0.0025999999999999994,61.0,0.0037999999999999974,59.0
0.0038999999999999972,62.0,0.0038999999999999972,60.0,0.003499999999999998,56.0,0.0038999999999999972,54.0,0.0030999999999999986,60.0,0.002899999999999999,56.0,0.004499999999999999,61.0,0.0043999999999999985,62,0.0026999999999999993,60.0,0.0038999999999999972,58.0
0.004099999999999998,60.0,0.004099999999999998,59.0,0.004299999999999998,54.0,0.0039999999999999975,53.0,0.0031999999999999984,58.0,0.0030999999999999986,55.0,0.0049,60.0,0.004599999999999999,61,0.0031999999999999984,59.0,0.004199999999999998,57.0
0.004199999999999998,59.0,0.0043999999999999985,58.0,0.0048,53.0,0.0043999999999999985,52.0,0.003399999999999998,55.0,0.0032999999999999982,54.0,0.0051,59.0,0.005500000000000001,60,0.0035999999999999977,58.0,0.005500000000000001,56.0
0.0049,58.0,0.004499999999999999,57.0,0.005200000000000001,52.0,0.0048,51.0,0.003499999999999998,54.0,0.0038999999999999972,53.0,0.005600000000000002,58.0,0.006500000000000004,59,0.0037999999999999974,56.0,0.006200000000000003,54.0
0.005200000000000001,56.0,0.005700000000000002,56.0,0.005600000000000002,51.0,0.005600000000000002,50.0,0.004199999999999998,53.0,0.004199999999999998,52.0,0.0063000000000000035,57.0,0.006800000000000005,58,0.004199999999999998,55.0,0.006400000000000004,53.0
0.005700000000000002,55.0,0.0059000000000000025,55.0,0.007100000000000006,50.0,0.007700000000000007,49.0,0.004499999999999999,52.0,0.0051,51.0,0.0067000000000000046,56.0,0.007400000000000006,57,0.004299999999999998,54.0,0.0067000000000000046,52.0
0.006100000000000003,54.0,0.006000000000000003,53.0,0.008700000000000003,49.0,0.0092,48.0,0.004699999999999999,51.0,0.005300000000000001,50.0,0.007500000000000007,55.0,0.008800000000000002,56,0.004699999999999999,53.0,0.008200000000000006,51.0
0.006500000000000004,53.0,0.006900000000000005,52.0,0.010999999999999989,48.0,0.009599999999999997,47.0,0.0049,50.0,0.005600000000000002,49.0,0.007700000000000007,54.0,0.0091,55,0.0048,52.0,0.008300000000000005,50.0
0.006600000000000004,52.0,0.0092,51.0,0.011299999999999987,47.0,0.009699999999999997,46.0,0.005800000000000002,49.0,0.0063000000000000035,48.0,0.008400000000000005,53.0,0.0092,54,0.005,51.0,0.011299999999999987,48.0
0.0067000000000000046,50.0,0.009399999999999999,50.0,0.011399999999999987,46.0,0.010399999999999993,45.0,0.006100000000000003,48.0,0.007000000000000005,47.0,0.0093,52.0,0.01089999999999999,53,0.005500000000000001,50.0,0.015099999999999964,47.0
0.007000000000000005,49.0,0.012299999999999981,49.0,0.018699999999999942,45.0,0.011099999999999988,44.0,0.008200000000000006,47.0,0.008100000000000007,46.0,0.010399999999999993,51.0,0.011199999999999988,52,0.005700000000000002,49.0,0.017799999999999948,46.0
0.007100000000000006,48.0,0.021799999999999924,48.0,0.027999999999999886,44.0,0.011599999999999985,43.0,0.008700000000000003,46.0,0.0091,45.0,0.010499999999999992,50.0,0.011399999999999987,51,0.006500000000000004,48.0,0.02069999999999993,45.0
0.007500000000000007,47.0,0.023599999999999913,47.0,0.02879999999999988,43.0,0.013399999999999974,42.0,0.015299999999999963,45.0,0.009499999999999998,44.0,0.011499999999999986,49.0,0.011499999999999986,50,0.007500000000000007,47.0,0.03479999999999997,44.0
0.009999999999999995,46.0,0.026999999999999892,46.0,0.0322999999999999,42.0,0.015499999999999962,41.0,0.023499999999999913,44.0,0.011599999999999985,43.0,0.01239999999999998,48.0,0.01239999999999998,49,0.008000000000000007,45.0,0.04120000000000015,43.0
0.010199999999999994,45.0,0.028099999999999885,45.0,0.03549999999999999,41.0,0.01769999999999995,40.0,0.024899999999999905,43.0,0.01729999999999995,42.0,0.012799999999999978,47.0,0.012899999999999977,48,0.010099999999999994,44.0,0.06430000000000081,42.0
0.010499999999999992,44.0,0.02889999999999988,44.0,0.03790000000000006,40.0,0.024799999999999905,39.0,0.0257999999999999,42.0,0.033599999999999935,41.0,0.014299999999999969,46.0,0.01599999999999996,47,0.012299999999999981,43.0,0.11750000000000234,41.0
0.016299999999999957,43.0,0.032199999999999895,43.0,0.04210000000000018,39.0,0.029799999999999875,38.0,0.026999999999999892,41.0,0.03660000000000002,40.0,0.014999999999999965,44.0,0.018599999999999943,46,0.019499999999999938,42.0,0.11880000000000238,40.0
0.01759999999999995,42.0,0.037100000000000036,42.0,0.042700000000000196,38.0,0.03059999999999987,37.0,0.02759999999999989,40.0,0.03750000000000005,39.0,0.018599999999999943,43.0,0.020099999999999934,45,0.027799999999999887,41.0,0.12110000000000244,39.0
0.019799999999999936,41.0,0.04320000000000021,41.0,0.052400000000000474,37.0,0.03439999999999996,36.0,0.03650000000000002,39.0,0.03960000000000011,38.0,0.021899999999999923,42.0,0.023099999999999916,44,0.04330000000000021,40.0,0.13840000000000108,38.0
0.019899999999999935,40.0,0.045800000000000285,40.0,0.13120000000000187,36.0,0.03610000000000001,35.0,0.04000000000000012,38.0,0.03980000000000011,37.0,0.028199999999999885,41.0,0.0257999999999999,43,0.045400000000000273,39.0,0.24739999999998907,37.0
0.03349999999999993,39.0,0.05230000000000047,39.0,0.14060000000000084,35.0,0.03650000000000002,34.0,0.05960000000000068,37.0,0.04250000000000019,36.0,0.036700000000000024,40.0,0.027999999999999886,42,0.046800000000000314,38.0,0.2499999999999888,36.0
0.0393000000000001,38.0,0.10350000000000194,38.0,0.1516999999999996,34.0,0.038500000000000076,33.0,0.09590000000000172,36.0,0.05020000000000041,35.0,0.043700000000000225,39.0,0.04070000000000014,41,0.06300000000000078,37.0,0.29309999999998404,35.0
0.04850000000000036,37.0,0.11860000000000237,37.0,0.3985999999999724,33.0,0.043400000000000216,32.0,0.10710000000000204,35.0,0.05270000000000048,34.0,0.04390000000000023,38.0,0.07310000000000107,40,0.08980000000000155,35.0,0.31499999999998163,34.0
0.0534000000000005,36.0,0.12450000000000254,36.0,0.5187999999999592,32.0,0.0463000000000003,31.0,0.10870000000000209,34.0,0.24849999999998895,33.0,0.0463000000000003,37.0,0.07460000000000111,39,0.19559999999999478,34.0,0.41939999999997013,33.0
0.06620000000000087,35.0,0.12750000000000228,35.0,0.5536999999999553,31.0,0.10120000000000187,30.0,0.21099999999999308,33.0,0.26759999999998685,32.0,0.07170000000000103,36.0,0.09550000000000171,38,0.20399999999999385,33.0,0.49089999999996226,32.0
0.09130000000000159,34.0,0.16949999999999765,34.0,0.9788999999999085,30.0,0.13510000000000144,29.0,0.22599999999999143,32.0,0.32389999999998065,31.0,0.07250000000000105,35.0,0.10440000000000196,37,0.2669999999999869,32.0,0.5419999999999566,31.0
0.10350000000000194,33.0,0.19019999999999537,33.0,1.6520999999998345,29.0,0.25839999999998786,28.0,0.41119999999997103,31.0,0.39189999999997316,30.0,0.11390000000000224,34.0,0.15069999999999972,36,0.2795999999999855,31.0,0.6369999999999462,30.0
0.13800000000000112,32.0,0.2826999999999852,32.0,4.094800000003795,28.0,0.3105999999999821,27.0,0.556499999999955,30.0,0.8444999999999233,29.0,0.39469999999997285,33.0,0.3588999999999768,35,0.2888999999999845,30.0,0.7801999999999304,29.0
0.14580000000000026,31.0,0.38559999999997385,31.0,12.948199999983162,27.0,1.2709999999998765,26.0,0.6934999999999399,29.0,1.6494999999998348,28.0,0.447899999999967,32.0,0.3924999999999731,34,0.5869999999999517,29.0,1.3093999999998722,28.0
0.1490999999999999,30.0,1.2332999999998806,30.0,13.783999999981214,26.0,4.992100000001704,25.0,0.8339999999999245,28.0,2.173900000000163,27.0,0.6624999999999434,31.0,0.5086999999999603,33,0.9894999999999073,28.0,4.19570000000356,27.0
0.18889999999999552,29.0,1.9052999999998066,29.0,19.765799999967275,25.0,8.533199999993451,24.0,2.151100000000115,27.0,2.7868000000014566,26.0,0.9993999999999063,30.0,0.5825999999999522,32,1.5620999999998444,27.0,6.303899999998647,26.0
0.2880999999999846,28.0,2.547300000000951,28.0,32.68629999996154,24.0,20.150899999966377,23.0,2.8417000000015724,26.0,5.394900000000765,25.0,1.1786999999998866,29.0,0.6424999999999456,31,2.20090000000022,26.0,21.92229999996225,25.0
0.3994999999999723,27.0,2.777500000001437,27.0,83.4347000016462,23.0,54.56290000068777,22.0,7.596999999995633,25.0,6.3323999999985805,24.0,1.429499999999859,28.0,0.9416999999999126,30,2.574700000001009,25.0,31.321699999940343,24.0
0.4004999999999722,26.0,4.034500000003936,26.0,,,70.06420000120235,21.0,20.255399999966134,24.0,28.124899999947793,23.0,6.081299999999166,27.0,0.9700999999999095,29,8.217799999994186,24.0,83.43590000164625,23.0
0.5332999999999576,25.0,4.197200000003557,25.0,,,97.58600000211598,20.0,26.018399999952702,23.0,60.423300000882314,22.0,10.737999999988313,26.0,1.1412999999998907,28,19.24839999996848,23.0,,
0.7498999999999337,24.0,8.832199999992755,24.0,,,,,53.26400000064465,22.0,72.58200000128593,21.0,12.198699999984909,25.0,1.8547999999998122,27,19.586499999967693,22.0,,
2.0635999999999304,23.0,9.85509999999037,23.0,,,,,69.98690000119979,21.0,88.09660000180097,20.0,15.78489999997655,24.0,2.5745000000010085,26,75.6957000013893,21.0,,
2.1443000000001007,22.0,41.377400000250056,22.0,,,,,93.7517000019887,20.0,,,19.57929999996771,23.0,4.012500000003987,25,,,,
6.936799999997172,21.0,53.21510000064303,21.0,,,,,,,,,25.455199999954015,22.0,6.5331999999981125,24,,,,
98.02690000213062,20.0,,,,,,,,,,,29.629899999944286,21.0,15.882799999976323,23,,,,
,,,,,,,,,,,,45.423000000384356,20.0,29.897199999943663,22,,,,
,,,,,,,,,,,,,,85.37360000171057,21,,,,
