,lf,beta,Mean_t(min)_50,Std_t(min)_50,Mean_t(min)_100,Std_t(min)_100,Mean_t(min)_150,Std_t(min)_150
0,0.5,0.1,68.91437317310367,6.952257951876011,67.8013126551125,5.982640492517396,76.51738481896056,16.38151499121025
1,0.5,1.0,69.12516768162278,6.862840543065606,67.8944022551069,5.940282411205115,76.63773342676791,16.37017101554923
2,0.5,3.0,69.3356880291743,6.7755574473943865,67.9849554311881,5.902138443258854,76.75677087560315,16.360986352298944
3,1.0,0.1,67.8013126551125,5.982640492517396,152.15624322231517,133.10003279490755,243.7606197863665,176.38862093890594
4,1.0,1.0,67.8944022551069,5.940282411205115,152.62644825229833,133.2682384728623,244.37993476138556,176.35741254475454
5,1.0,3.0,67.9849554311881,5.902138443258854,153.09920712731423,133.437797508205,245.0019473243461,176.3253325150315
6,3.5,0.1,76.51738481896056,16.38151499121025,243.7606197863665,176.38862093890594,483.1156726716462,373.32786731613464
7,3.5,1.0,76.63773342676791,16.37017101554923,244.37993476138556,176.35741254475454,484.0611742984079,373.20479316544214
8,3.5,3.0,76.75677087560315,16.360986352298944,245.0019473243461,176.3253325150315,485.0099264932723,373.07982505021545
9,6.0,0.1,152.15624322231517,133.10003279490755,408.58447383762854,325.3487151510469,379.1948191664556,370.07682316227056
10,6.0,1.0,152.62644825229833,133.2682384728623,409.4616643929717,325.2834054177288,379.7300601963567,370.1534921646978
11,6.0,3.0,153.09920712731423,133.437797508205,410.34217060752906,325.21655116381226,380.26636432544905,370.2302551898372
