lf,beta,T_time_(ns)
0.5, 0.1,3515126535340
0.5, 0.1,3541211459949
0.5, 0.1,3548806857737
0.5, 0.1,3558947731941
0.5, 0.1,3575687756536
0.5, 0.1,3581478132405
0.5, 0.1,3584145138572
0.5, 0.1,3587221812230
0.5, 0.1,3675004381536
0.5, 0.1,3675361100897
0.5, 0.1,3706243833709
0.5, 0.1,3809770340645
0.5, 0.1,3842310287979
0.5, 0.1,3901111650831
0.5, 0.1,3904409229135
0.5, 0.1,3905492986501
0.5, 0.1,3910366346941
0.5, 0.1,3962121964498
0.5, 0.1,3969970895566
0.5, 0.1,3983724598255
0.5, 0.1,3990500183072
0.5, 0.1,4002139927806
0.5, 0.1,4010720075090
0.5, 0.1,4065013611650
0.5, 0.1,4108040527174
0.5, 0.1,4113075596013
0.5, 0.1,4148282242379
0.5, 0.1,4167418610880
0.5, 0.1,4175472152931
0.5, 0.1,4214540327478
0.5, 0.1,4219884897903
0.5, 0.1,4283454007379
0.5, 0.1,4340344295883
0.5, 0.1,4340910687691
0.5, 0.1,4341951212200
0.5, 0.1,4362260465327
0.5, 0.1,4368269121089
0.5, 0.1,4376365705758
0.5, 0.1,4428487001838
0.5, 0.1,4441167415423
0.5, 0.1,4444461091606
0.5, 0.1,4449246192243
0.5, 0.1,4555738110777
0.5, 0.1,4620513992675
0.5, 0.1,4677219880739
0.5, 0.1,4794099850327
0.5, 0.1,4810020230512
0.5, 0.1,4827557116688
0.5, 0.1,5068019448149
0.5, 0.1,5259432499428
0.5, 1.0,19286707882237
0.5, 1.0,19419551002735
0.5, 1.0,19859689478872
0.5, 1.0,20257468011517
0.5, 1.0,20101354263046
0.5, 1.0,20240259367046
0.5, 1.0,21130581617666
0.5, 1.0,21010891049340
0.5, 1.0,20825472975883
0.5, 1.0,20949446935636
0.5, 1.0,21058499962916
0.5, 1.0,21812395101550
0.5, 1.0,21642693006878
0.5, 1.0,21563505618342
0.5, 1.0,22063092854905
0.5, 1.0,22156389137008
0.5, 1.0,21887957912693
0.5, 1.0,21350556542889
0.5, 1.0,21964196823130
0.5, 1.0,22374003696456
0.5, 1.0,21661129579591
0.5, 1.0,22053991497959
0.5, 1.0,22611999536271
0.5, 1.0,21754508872142
0.5, 1.0,22476152342578
0.5, 1.0,21954316676271
0.5, 1.0,23253501591911
0.5, 1.0,22403777269316
0.5, 1.0,22875155939534
0.5, 1.0,23246997991235
0.5, 1.0,22612515180772
0.5, 1.0,22901311524435
0.5, 1.0,23111300068916
0.5, 1.0,22983418684385
0.5, 1.0,22200326887375
0.5, 1.0,22443694187262
0.5, 1.0,22822371848402
0.5, 1.0,22959248240012
0.5, 1.0,23586366009562
0.5, 1.0,23267302860109
0.5, 1.0,23287081740092
0.5, 1.0,23445505521523
0.5, 1.0,24332572549408
0.5, 1.0,24868443635190
0.5, 1.0,26372247807581
0.5, 1.0,26581576850066
0.5, 1.0,28533165166522
0.5, 1.0,27688640922852
0.5, 1.0,28160915440403
0.5, 1.0,29814205634717
0.5, 3.0,45666534983778
0.5, 3.0,48505322854193
0.5, 3.0,49389741971609
0.5, 3.0,49867091647105
1.0, 0.1,3713852859226
0.5, 3.0,48365612892415
0.5, 3.0,49379913382369
1.0, 0.1,3486268417818
1.0, 0.1,4116921554046
1.0, 0.1,3936017360751
0.5, 3.0,51052259079975
0.5, 3.0,51551597168226
1.0, 0.1,3891830564164
0.5, 3.0,50596674467725
0.5, 3.0,52922652106026
0.5, 3.0,53163610658400
0.5, 3.0,52467545916582
1.0, 0.1,3719620073049
0.5, 3.0,53827377029028
0.5, 3.0,52569523864378
0.5, 3.0,54418568773204
0.5, 3.0,53876073740547
0.5, 3.0,53618337946420
0.5, 3.0,53247472908099
0.5, 3.0,53571379445349
0.5, 3.0,54702841907313
0.5, 3.0,53816269616255
0.5, 3.0,56245710848897
0.5, 3.0,51907922982147
1.0, 0.1,3760838870448
0.5, 3.0,54757474749813
0.5, 3.0,53900620933523
0.5, 3.0,54059518175133
0.5, 3.0,55713458422761
0.5, 3.0,55580464206624
1.0, 0.1,3965513437456
0.5, 3.0,56563474663530
1.0, 0.1,3561133739856
1.0, 0.1,3517957391660
0.5, 3.0,56483069732407
1.0, 0.1,4229230428797
0.5, 3.0,54305005246197
0.5, 3.0,55711670739990
1.0, 0.1,3961268643698
0.5, 3.0,56082363747442
0.5, 3.0,56706185335595
1.0, 0.1,3584615916301
1.0, 0.1,3541780170845
1.0, 0.1,3760434324163
0.5, 3.0,56429813218473
1.0, 0.1,4013987229855
0.5, 3.0,59126292381470
1.0, 0.1,3698620804217
1.0, 0.1,3514370161135
0.5, 3.0,56853977973289
0.5, 3.0,52985475164099
1.0, 0.1,3544676855449
0.5, 3.0,57513555464004
1.0, 0.1,3279254220185
0.5, 3.0,57042704956307
1.0, 0.1,3965355824558
1.0, 0.1,3625258843018
1.0, 0.1,3913494841288
1.0, 0.1,4292565667445
1.0, 0.1,4314726106390
1.0, 0.1,3830713995379
0.5, 3.0,58141122129745
0.5, 3.0,58315698716910
1.0, 0.1,3970928586124
1.0, 0.1,3353208939607
1.0, 0.1,4466679153364
1.0, 0.1,4180888997057
1.0, 0.1,3893423053050
1.0, 0.1,3916655521000
1.0, 0.1,3856692382799
1.0, 0.1,4055174075295
1.0, 0.1,3419099772349
0.5, 3.0,60107052268515
0.5, 3.0,60375473871819
1.0, 0.1,3590180057538
1.0, 0.1,3663920408000
0.5, 3.0,59330551080972
1.0, 0.1,3149451280015
1.0, 0.1,4123348911365
1.0, 0.1,3823223307491
1.0, 0.1,3642146243147
1.0, 0.1,3978915368087
0.5, 3.0,56573093666057
1.0, 0.1,3904812551486
1.0, 0.1,3986376465601
1.0, 0.1,3808431096355
1.0, 1.0,18472987499522
1.0, 0.1,3584942712197
1.0, 1.0,16788496621280
1.0, 1.0,17676121688450
1.0, 1.0,17169663846693
1.0, 1.0,19846496143876
1.0, 1.0,19535926076752
0.5, 3.0,65039952518949
1.0, 1.0,18068543213718
0.5, 3.0,68492847291366
1.0, 1.0,18034102837522
0.5, 3.0,66935355263501
1.0, 1.0,18367960740331
0.5, 3.0,66142055557700
1.0, 1.0,18893408405245
1.0, 1.0,19607195090640
1.0, 1.0,19708458465680
1.0, 0.1,4527748722046
1.0, 1.0,20946632411732
1.0, 1.0,19622266399628
1.0, 1.0,18319651429100
1.0, 1.0,18553082569395
1.0, 1.0,20617613864528
1.0, 1.0,19778330287544
1.0, 1.0,19961534810057
1.0, 1.0,18973684407048
1.0, 1.0,19731113173429
1.0, 1.0,19363289199934
1.0, 0.1,4938218746191
1.0, 1.0,19249746897532
1.0, 1.0,19621015672866
1.0, 1.0,21254577622041
1.0, 1.0,18766821025278
1.0, 1.0,20487754939881
1.0, 1.0,17307997399441
1.0, 1.0,18585539017153
1.0, 0.1,4996805433694
1.0, 1.0,17693243225344
1.0, 1.0,19449922283841
1.0, 1.0,20086649112690
1.0, 1.0,21021640630926
1.0, 1.0,19643655023524
1.0, 1.0,17540671732853
1.0, 0.1,5357753637690
1.0, 1.0,19193964837296
1.0, 1.0,20496081898529
1.0, 1.0,18525500073251
1.0, 1.0,19810534726341
1.0, 1.0,21620071153566
1.0, 1.0,22832434608662
1.0, 1.0,20785054092027
1.0, 1.0,17814505962203
1.0, 1.0,19118407126268
1.0, 1.0,20106460152108
1.0, 1.0,22504402124252
